geo_area_id_child,area_name_child,ENUM,popularity_score
107797,Cihampelas,BUDGET_FRIENDLY,0.01
30011473,Setiabudi,LUXURY_STAY,0.01
30010780,"Dago Atas, Dago",TOURIST_PICK,0.01
30011514,"Braga, Asia Afrika",CITY_CENTER,0.01
107799,Malioboro Street,CITY_CENTER,0.01
30010920,"Prawirotaman Street, Mergangsan",TOURIST_PICK,0.01
107466,Depok,LUXURY_STAY,0.01
30012204,"Seturan, Depok",BUDGET_FRIENDLY,0.01
107531,Bugis,TOURIST_PICK,0.01
107517,Orchard,LUXURY_STAY,0.01
107542,Little India,BUDGET_FRIENDLY,0.01
107548,Marina Bay,CITY_CENTER,0.01
103593,Gubeng,TOURIST_PICK,0.01
103584,Wonokromo,BUDGET_FRIENDLY,0.01
103588,Dukuh Pakis,LUXURY_STAY,0.01
103594,Genteng,CITY_CENTER,0.01
102758,Badung,TOURIST_PICK,0.01
102747,Denpasar,CITY_CENTER,0.01
102765,Gianyar,BUDGET_FRIENDLY,0.01
30010498,Sanur,LUXURY_STAY,0.01
106592,Semarang Tengah,CITY_CENTER,0.01
106603,Semarang Selatan,TOURIST_PICK,0.01
106599,Tembalang,BUDGET_FRIENDLY,0.01
103245,Batu,TOURIST_PICK,0.01
103764,Klojen,CITY_CENTER,0.01
103765,Lowokwaru,BUDGET_FRIENDLY,0.01
104690,Sentul,LUXURY_STAY,0.01
103910,Bogor Tengah,TOURIST_PICK,0.01
30012458,Bogor Raya,CITY_CENTER,0.01
106481,Laweyan,LUXURY_STAY,0.01
106503,Banjarsari,CITY_CENTER,0.01
104678,Cisarua,TOURIST_PICK,0.01
104461,Cipanas,CITY_CENTER,0.01
101990,Ilir Timur I,CITY_CENTER,0.01
101994,Ilir Barat I,TOURIST_PICK,0.01
101899,Balikpapan City Center,CITY_CENTER,0.01
101898,Balikpapan Selatan,TOURIST_PICK,0.01
108158,Bukit Bintang,TOURIST_PICK,0.01
108451,Kuala Lumpur City Centre,CITY_CENTER,0.01
102937,Menteng,LUXURY_STAY,0.01
102912,"Mangga Dua, Sawah Besar",BUDGET_FRIENDLY,0.01
30012063,Thamrin,CITY_CENTER,0.01
30012066,Sudirman,TOURIST_PICK,0.01
10002752,Ratchathewi,BUDGET_FRIENDLY,0.01
9000002,Sukhumvit,TOURIST_PICK,0.01
10000709,Pathum Wan,CITY_CENTER,0.01
30009928,Bangkok Riverside,LUXURY_STAY,0.01
107716,Seminyak,TOURIST_PICK,0.01
30011238,Ward 1,CITY_CENTER,0.01
30011243,Ward 3,LUXURY_STAY,0.01
30011244,Ward 4,TOURIST_PICK,0.01
30011249,Ward 6,BUDGET_FRIENDLY,0.01
100808,Panakkukang,TOURIST_PICK,0.01
100816,Makassar City Center,CITY_CENTER,0.01
30012198,"Blok M, Kebayoran Baru",BUDGET_FRIENDLY,0.01
103013,"Kuningan, Setiabudi",LUXURY_STAY,0.01
103022,"Senayan, Kebayoran Baru",TOURIST_PICK,0.01
105845,Pekanbaru City Center,CITY_CENTER,0.01
105846,Tampan,TOURIST_PICK,0.01
101906,Samarinda City Center,CITY_CENTER,0.01
107387,Banjarmasin Tengah,CITY_CENTER,0.01
100363,Batam City Center,CITY_CENTER,0.01
103315,Banyuwangi City Center,CITY_CENTER,0.01
103307,Licin,LUXURY_STAY,0.01
102355,Pontianak Kota,CITY_CENTER,0.01
102358,Pontianak Selatan,TOURIST_PICK,0.01
101096,Bunaken,TOURIST_PICK,0.01
101099,Sario,CITY_CENTER,0.01
10011309,Patong,TOURIST_PICK,0.01
30009959,Phuket Town,CITY_CENTER,0.01
103099,"Mangga Besar, Taman Sari",BUDGET_FRIENDLY,0.01
103098,"Glodok, Taman Sari",TOURIST_PICK,0.01
104980,Pasar Jambi,CITY_CENTER,0.01
104408,Pelabuhan Ratu,TOURIST_PICK,0.01
103920,Sukabumi City Center,CITY_CENTER,0.01
104654,Kuningan City Center,CITY_CENTER,0.01
107799,Malioboro Street,CITY_CENTER,0.01
30010920,"Prawirotaman Street, Mergangsan",TOURIST_PICK,0.01
107466,Depok,LUXURY_STAY,0.01
30009989,Central Pattaya,CITY_CENTER,0.01
30009991,South Pattaya,TOURIST_PICK,0.01
10003437,Na Kluea,LUXURY_STAY,0.01
30018215,Mina,TOURIST_PICK,0.01
30018210,Ajyad,CITY_CENTER,0.01
103389,Kaliwates,CITY_CENTER,0.01
30011668,Dieng,TOURIST_PICK,0.01
106848,Wonosobo City Center,CITY_CENTER,0.01
103450,Manguharjo,TOURIST_PICK,0.01
103795,Madiun City Center,CITY_CENTER,0.01
30010276,Mui Ne,TOURIST_PICK,0.01
30011108,Phu Thuy Ward,CITY_CENTER,0.01
102868,Jatinegara,TOURIST_PICK,0.01
20003648,Pudong,TOURIST_PICK,0.01
20001525,Huangpu,CITY_CENTER,0.01
20005639,Zhabei,BUDGET_FRIENDLY,0.01
105647,Teluk Segara,CITY_CENTER,0.01
102973,"Ancol, Pademangan",TOURIST_PICK,0.01
107425,Wonosari,CITY_CENTER,0.01
107427,Tepus,TOURIST_PICK,0.01
10000199,Mueang Chiang Mai District,CITY_CENTER,0.01
10001052,Chiang Dao District,TOURIST_PICK,0.01